"idencuesta","c01","c02","c03","c04","c05_01","c05_02","c05_03","c05_04","c05_05","c05_06","c05_07","c05_08","c06_01","c06_02","c06_03","c06_04","c06_05","c06_06","c11","c13","c14_01","c14_02","d05_02","d05_04","m0_sexo","m0_edad","m01","m35"
4204012,3,2,2,1,4,3,5,4,3,4,4,4,5,3,5,4,4,4,2,5,5,5,4,4,1,37,10,3
4204013,4,2,2,1,2,1,3,1,2,1,1,2,1,1,1,1,3,2,2,1,1,1,4,4,1,58,4,1
4204021,,2,2,1,,,,,,,,,,,,5,5,5,1,1,1,1,5,1,1,61,6,2
4204023,3,2,2,1,2,1,4,4,3,4,1,4,3,3,3,4,5,2,2,3,3,4,5,5,2,51,4,3
4204031,3,2,2,1,2,1,3,1,2,4,2,2,1,1,1,3,4,2,2,1,1,3,5,5,2,62,9,3
4204032,1,2,2,1,2,2,4,5,1,4,1,2,1,1,1,5,5,3,2,3,3,4,5,5,1,54,5,3
4204042,1,2,2,1,1,1,1,1,1,3,3,3,1,1,1,2,1,3,1,1,1,1,4,4,2,28,8,1
4204043,4,2,2,1,2,2,4,1,1,2,1,1,1,1,1,2,4,1,2,1,2,3,4,4,1,67,7,3
4204051,3,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,5,1,1,27,5,3
4204052,,2,1,,1,1,,1,1,1,1,1,1,1,1,,,1,2,1,1,1,3,3,2,58,2,1
4204053,4,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,5,2,45,3,1
4204061,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,5,4,5,1,2,53,3,1
4204063,3,2,2,1,1,1,3,1,1,2,1,2,1,1,1,2,3,2,1,1,1,2,5,5,2,47,5,1
4204071,2,2,2,1,1,1,4,2,3,1,1,1,1,1,1,,,,2,1,1,3,4,4,2,50,8,2
4204072,1,2,2,1,2,2,4,4,2,3,2,2,1,2,2,2,1,2,2,1,1,1,4,4,2,32,5,2
4204081,1,2,1,2,1,1,4,2,3,2,1,2,1,1,1,3,3,3,1,1,1,5,5,4,2,53,5,3
4204082,5,2,2,3,1,1,3,2,1,2,1,2,1,2,1,3,3,3,2,1,1,2,4,4,2,45,6,1
4204083,1,2,2,1,1,2,4,3,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,3,2,43,5,2
4204091,2,2,2,1,1,1,5,1,2,3,1,2,1,1,1,1,,1,1,1,1,2,4,4,2,65,3,1
4204092,2,2,2,1,1,1,3,1,1,1,1,2,1,1,1,2,3,3,2,1,1,2,5,5,2,48,5,2
4204093,2,2,2,1,2,1,3,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,5,2,2,74,2,1
4204101,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,3,4,4,1,1,4,5,4,4,1,37,6,2
4204102,3,2,1,2,2,1,4,3,2,3,1,2,1,1,1,3,3,3,1,1,1,1,4,5,2,37,7,2
4204103,2,2,2,1,1,1,3,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,5,5,1,59,2,2
4204112,3,2,2,1,2,1,3,1,1,1,1,3,1,1,1,2,3,3,2,1,1,1,4,4,1,68,9,4
4204113,4,2,2,1,1,1,5,1,1,1,1,2,1,1,1,1,1,1,2,3,3,3,4,4,1,59,2,1
4301011,,2,3,3,2,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,5,5,2,81,7,1
4301012,1,2,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,2,4,1,47,5,3
4301013,5,3,2,3,4,,3,,,2,3,4,1,1,1,1,1,1,2,1,1,1,5,5,2,88,7,1
4301021,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,2,43,3,1
4301022,1,2,2,1,1,1,1,4,1,1,1,1,1,1,1,3,3,1,2,2,2,1,4,2,2,42,5,3
4301023,4,2,2,1,3,1,4,4,3,3,3,3,1,2,1,2,2,2,2,1,2,4,5,4,2,32,7,3
4301032,3,2,2,1,4,3,3,3,1,1,1,4,1,3,4,1,1,2,2,2,2,5,5,5,2,59,3,2
4301033,4,2,2,1,4,2,4,,3,2,2,4,2,2,2,2,4,3,2,1,1,5,3,5,2,57,2,2
4301042,2,2,2,2,1,2,3,3,3,2,2,1,3,1,1,3,3,2,2,4,4,5,5,5,2,28,8,6
4301043,1,1,2,2,5,1,1,1,1,2,1,2,1,1,1,4,4,4,2,4,3,3,5,1,1,53,9,3
4301051,1,2,2,3,1,1,3,3,2,2,2,3,2,2,1,2,3,2,2,1,1,4,5,5,2,49,4,1
4301052,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,5,2,50,2,
4301053,1,2,2,3,2,2,1,1,1,2,1,1,,,,3,,2,2,1,1,1,4,4,2,26,5,1
4301061,5,2,2,1,4,3,4,3,3,3,3,4,2,3,2,4,4,3,2,4,4,5,4,4,1,54,9,6
4301062,2,1,2,1,2,2,5,3,3,2,2,3,2,2,2,2,2,2,2,4,3,4,4,5,1,41,9,6
4301071,3,2,2,2,3,1,3,1,2,1,1,3,1,1,2,1,1,1,2,2,3,5,5,5,1,44,5,2
4301072,1,2,2,1,2,1,5,,3,1,1,4,2,2,1,4,1,1,2,1,1,5,5,5,2,73,4,1
4301081,1,2,2,1,2,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1,1,1,5,5,2,46,3,2
4301082,2,2,2,3,1,1,4,4,1,1,1,1,1,1,1,,1,1,2,1,1,3,5,5,2,39,5,2
4301083,1,2,2,1,1,1,2,3,1,1,1,3,1,1,1,3,3,4,1,1,1,1,5,5,2,44,3,1
4301091,2,2,2,1,2,1,3,3,2,3,1,2,1,1,1,3,3,1,2,2,5,5,4,4,2,64,7,2
4301092,2,2,1,1,3,1,5,3,3,3,1,1,3,3,3,3,3,1,1,1,3,3,5,1,2,41,2,3
4301121,2,2,2,2,1,1,5,2,2,3,3,3,2,2,1,3,2,4,2,1,3,5,5,5,2,45,9,5
4301122,1,2,1,1,1,1,5,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,4,2,2,32,7,3
4301141,1,2,1,1,1,1,3,4,2,2,1,2,1,2,3,3,2,2,2,1,3,3,5,4,2,35,5,3
4301142,1,2,2,1,1,1,2,1,3,2,2,1,1,1,1,1,1,1,2,1,2,2,5,1,2,39,5,3
4301143,,2,2,1,1,1,3,4,5,3,1,1,1,1,1,4,2,2,1,1,1,1,4,4,2,36,5,3
4301152,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,4,5,5,2,33,9,3
4301153,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,2,4,5,5,4,2,2,28,5,3
4301162,2,2,1,1,3,1,1,1,1,2,1,2,2,1,1,3,3,3,2,1,1,2,4,4,1,51,4,1
4301164,1,2,1,1,1,1,3,3,1,3,1,3,1,1,1,3,1,1,2,1,2,2,1,4,2,38,4,2
4301171,1,2,2,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,5,5,1,57,3,1
4301172,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,5,3,1,22,5,2
4301173,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,4,4,2,20,3,1
4301182,5,2,2,2,3,1,3,3,1,2,1,3,1,1,1,3,3,3,2,1,1,1,1,5,2,36,5,2
4301183,2,2,2,1,3,1,3,,2,2,2,2,,,,,,,2,2,2,2,3,3,1,51,5,3
4301184,3,2,2,1,3,1,2,1,1,1,1,2,1,1,1,3,1,1,2,1,1,1,5,2,2,72,1,2
4301185,2,2,2,1,2,2,4,1,1,1,1,2,1,1,1,5,5,5,2,2,2,2,5,1,2,36,5,2
4301191,3,2,2,2,3,1,4,1,3,2,3,4,1,1,1,4,4,4,2,3,2,2,4,1,2,59,5,3
4301192,1,2,2,2,1,3,4,2,1,1,1,1,1,1,1,1,1,1,2,4,4,1,4,1,2,25,8,3
4301194,2,1,2,1,3,3,3,1,1,4,1,4,2,2,2,3,4,3,1,2,3,5,4,5,1,55,9,3
4301201,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,5,5,2,54,6,3
4301202,3,2,1,1,1,1,4,4,1,2,1,1,2,1,1,2,1,2,2,1,1,4,3,3,2,38,5,1
4301203,1,2,2,1,1,1,3,1,1,1,1,1,1,1,3,4,4,1,1,3,5,5,5,3,1,27,9,3
4301211,2,2,2,1,3,1,5,3,3,3,3,3,1,1,1,1,1,1,2,1,1,1,4,4,2,53,6,3
4301212,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,5,5,5,1,1,1,4,5,5,2,25,3,3
4301213,1,2,1,2,4,2,4,1,3,1,4,4,1,1,1,1,1,1,2,1,1,1,4,5,2,63,4,4
4301221,3,2,2,1,4,1,3,1,3,3,3,3,1,1,1,3,1,1,2,1,1,5,5,5,2,44,5,3
4301222,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,5,5,2,1,1,1,1,1,1,49,4,1
4301223,1,2,2,1,2,1,4,1,2,2,1,2,,,,5,5,3,1,1,2,2,5,5,2,36,3,1
4301233,2,2,2,2,2,1,4,3,1,3,1,3,1,1,1,3,3,3,2,1,3,3,3,1,2,59,5,3
4301234,1,2,2,1,1,1,3,3,1,1,1,1,1,1,1,3,3,2,1,2,3,4,5,1,2,40,4,4
